name;price;image_url;quantity;description;category;tax;power
name;price;image_url;quantity;description;category;tax;power
WHISKY CAOL ILA SIGNATORY VINTAGE 11YO (D.2010, B.2022) SHERRY CASK 0,7L 56,8%;819.00;https://alkoholeswiata24.pl/gfx/mini/1667397841.9209.jpg, https://alkoholeswiata24.pl/gfx/1667397841.9209.jpg;0;Whisky Caol Ila Signatory Vintage 11 YO (D.2010, B.2022) Sherry Cask 0,7l 56,8%;whisky wschodnie;1;Moc:56,8%
WHISKEY BOURBON ANGEL'S ENVY PORT WINE BARRELS FINISH 43,3% 0,7L;299.00;https://alkoholeswiata24.pl/gfx/mini/1692349793.1032.jpg, https://alkoholeswiata24.pl/gfx/1692349793.1032.jpg;4;"Whiskey Bourbon Angel's Envy Port Finish  to wysokiej jakości  produkowany w Louisville w stanie Kentucky i wprowadzony na rynek w 2011 roku. Do stworzenia burbonu przyczynił się mistrz destylacji Lincoln Henderson, który jest twórcą między innymi   czy   Nazwa ""Angel's Envy"" odnosi się do pozostałego destylatu po odparowaniu tak zwanego   (4-5% whiskey w USA).  Angel's Envy Port Finish bourbon po pierwszym dojrzewaniu przelewany jest do beczek po winie porto, gdzie spędza kolejne od 3 do 6 miesięcy. Zabutelkowana jest z mocą 43,3% ABV.  Bourbon Angel's Envy Port Finish - noty degustacyjne : Delikatne nuty wanilii, rodzynki, syrop klonowy, prażone orzechy. : Wanilia, słodkie dojrzałe owoce, syrop klonowy, pieczone tosty, gorzka czekolada.  : Długi i słodki, nuty winne, śliwki.";whisky zachodnie;1;Moc:43,3%
WHISKY KENSEI BLENDED 0,7L 40%  JAPONIA;204.91;https://alkoholeswiata24.pl/gfx/mini/1580481636.6571.jpg, https://alkoholeswiata24.pl/gfx/1580481636.6571.jpg;0;Japońska whisky cieszy się ogromną popularnością na całym świecie, znaną z wysokiej jakości i mistrzowskiego mieszania. Tworzenie whisky nie jest klasyfikowane jako produkcja w Japonii, ale raczej jako forma sztuki. Ceniony jest za delikatną harmonijną równowagę smaków i pożądany łagodny styl. Whisky Kensei zostały tak wykonane, że najlepiej spożywać je od razu. Wygląd:   złoty bursztyn Aromat:   delikatny kwiatowy aromat    Ciesz się smakami zimowych przypraw w połączeniu z karmelowymi i waniliowymi nutami. Długie owocowe zakończenie;whisky wschodnie;1;Moc:40%
WHISKEY BUSHMILLS 0,7L 40% IRLANDIA;81.00;https://alkoholeswiata24.pl/gfx/mini/1481207121.2716.jpg, https://alkoholeswiata24.pl/gfx/1481207121.2716.jpg;10;Jest kompozycją trzykrotnie destylowanej whiskey słodowej z delikatną whiskey zbożową. To whiskey o bogatym, pełnym charakteru smaku świeżych owoców i wanilii, z nutą przypraw w finiszu. Whiskey wchodzące w skład Bushmills Original dojrzewają w beczkach minimum 3 lata. Irlandzka whisky w dobrej cenie.;whisky zachodnie;1;Moc:40%
WHISKY ABERFELDY 12YO GOLD SINGLE MALT 40% 0,7L PUSZKA;213.90;https://alkoholeswiata24.pl/gfx/mini/1666691591.9346.jpg, https://alkoholeswiata24.pl/gfx/1666691591.9346.jpg;10;Whisky Aberfeldy 12 yo single malt Gold 0,7l puszka  w luksusowym złotym, metalowym pudełku prezentowym to nie tylko  , ale także dla nowicjuszy w piciu single malt i miłośnika słodkiej owocowej whisky.  w Szkocji, wytwarzana jest w destylarni Aberfeldy. Destylarnia została otwarta w 1898 roku przez synów Johna Dewar.  Gorzelnia była kilkakrotnie zamykana, ale od 1999 roku Aberfeldy produkuje whisky bez przerw. Aberfeldy 12 yo została stworzona między innymi po to, aby komponować z niej znaną whisky Dewar's. Whisky single malt Aberfeldy 12yo Gold powinna być degustowana samodzielnie, bez lodu bądź wody, aby móc pełniej cieszyć się jej smakiem i aromatem.  Whisky Aberfeldy 12yo Gold ma ciemny, złoty kolor. Aromat jest bardzo owocowy, wraz ze słodyczą miodu i nutami cytrusów. Smak jest pełen słodkich, soczystych owoców i delikatnej wanilii. Finisz długi, elegancki i dobrze zbalansowany, miękki i lekko owocowy. Szkocka whisky Aberfeldy 12yo Gold 0,7l  produkowana ze słodu uprawianego w Szkocji Midlands i wody z rzeki Tay, która płynie ścieżką rozpoczynającą się przy źródle Pitilie na kamieniu i piaskowcu, który staje się czystszy i bogatszy w minerały. Leżakowanie przez 12 lat w dębowych beczkach. Zabutelkowana z mocą 40% abv. Do whisky Aberfeldy została dołączona złota puszka prezentowa. Zamów online na oryginalny prezent dla konesera whisky.  Jak smakuje 12-letnia whisky Aberfeldy? : Słodki, akcenty miodu i ananasa. : Zrównoważony, słodki. Słodki syrop owocowy, miód, wanilia, krówki, suszone owoce. : Długi z delikatną nutą dymu.  Zaleca się otworzyć butelkę i odstawić na chwilę, aby whisky mogła pooddychać i uwolnić swój charakter. Doskonała propozycja na prezent na święta i nie tylko. Świetna dla zagorzałych koneserów mocnych trunków, jak i dla początkujących smakoszy.  Whisky   to obowiązkowa pozycja w twoim barku!;whisky zachodnie;1;Moc:40%
WHISKEY BUSHMILLS 21YO 0,7L 40%;739.00;https://alkoholeswiata24.pl/gfx/mini/1649421671.6043.jpg, https://alkoholeswiata24.pl/gfx/1649421671.6043.jpg;1;: Głęboki mahoń  Bogate nuty świeżego miodu i dojrzałych owoców łączą się z delikatnym aromatem orzechów laskowych i kakao .  Głęboki i bogaty. Gorzka czekolada i toffi z nutami wanilii, prażonych orzechów i dębu.  Długi, delikatny i harmonijny. Słodycz owoców połączona z tytoniem i nutą mięty.;whisky zachodnie;1;Moc:40%
WHISKY HATOZAKI BLENDED 0,7L 40% JAPONIA;168.01;https://alkoholeswiata24.pl/gfx/mini/1614979178.5072.jpg, https://alkoholeswiata24.pl/gfx/1614979178.5072.jpg;6;Mieszanka Hatozaki, mieszana whisky z destylarni Kaikyo, łączy w sobie zarówno whisky słodowe, jak i zbożowe, w tym whisky destylowaną w Japonii i importowane. Nazwa whisky pochodzi od najstarszej latarni morskiej w Japonii, Hatozaki. Płyn dojrzewa w wielu różnych rodzajach beczek, w tym po sherry, burbonie i dębie Mizunara, nadając złożony profil smakowy.;whisky wschodnie;1;Moc:40%
WHISKEY BUSHMILLS 0,7L 40%+2 SZKLANKI        IRLANDIA;105.90;https://alkoholeswiata24.pl/gfx/mini/1582106321.9639.jpg, https://alkoholeswiata24.pl/gfx/1582106321.9639.jpg;0;jest kompozycją trzykrotnie destylowanej whiskey słodowej z delikatną whiskey zbożową. To whiskey o bogatym, pełnym charakteru smaku świeżych owoców i wanilii, z nutą przypraw w finiszu. Whiskey wchodzące w skład Bushmills Original dojrzewają w beczkach minimum 3 lata. Irlandzka whisky w dobrej cenie.;whisky zachodnie;1;Moc:40%
WHISKY HATOZAKI PURE MALT 0,7L 46% JAPONIA;239.00;https://alkoholeswiata24.pl/gfx/mini/1582619887.9124.jpg, https://alkoholeswiata24.pl/gfx/1582619887.9124.jpg;3;Nazwana na cześć najstarszej kamiennej latarni morskiej w Japonii, japońska whisky Hatozaki Pure Malt to słodka, dymna whisky typu blended malt z destylarni Kaikyo. W nosie wypełniają bogate aromaty suszonych owoców, jabłek toffi i letnich kwiatów, a na podniebieniu nuty słodkiego miodu, delikatnego dymu drzewnego i sułtanek.;whisky wschodnie;1;Moc:46%
