name;price;image_url;quantity;description;category;tax;power
WINO 12 E MEZZO MALVASIA DEL SALENTO B/W 12,5% 0,75L WŁOCHY;49.00;https://alkoholeswiata24.pl/gfx/mini/1675937083.4551.jpg, https://alkoholeswiata24.pl/gfx/1675937083.4551.jpg;0;Wino 12 E Mezzo Malvasia Del Salento białe, wytrawne 0,75l 12,5%;wino białe;1;Moc:12,5%
WINO 24 CARATI TENUTA ANTONINI CZ/W 14,5% 0,75L WŁOCHY;82.00;https://alkoholeswiata24.pl/gfx/mini/1674052805.8712.jpg, https://alkoholeswiata24.pl/gfx/1674052805.8712.jpg;3;Wino włoskie 24 Carati Tenuta Antonini czerwone, wytrawne 0,75l 14,5%;wino czerwone;1;Moc:14,5%
WINO ALSACE JEAN BIECHER RIESLING 0,75L B/W FRANCJA;41.00;https://alkoholeswiata24.pl/gfx/mini/1673435386.5031.jpg, https://alkoholeswiata24.pl/gfx/1673435386.5031.jpg;10;;wino białe;1;Moc: 0%
WINO 770 MILES B/PS 0.75L;24.99;https://alkoholeswiata24.pl/gfx/mini/1509296421.9746.jpg, https://alkoholeswiata24.pl/gfx/1509296421.9746.jpg;0;;wino białe;1;Moc: 0%
WINO ALPHA ESTATE MALAGOUZIA B/W 0,75L 13,5% GRECJA;55.90;https://alkoholeswiata24.pl/gfx/mini/1664190272.2575.jpg, https://alkoholeswiata24.pl/gfx/1664190272.2575.jpg;0;"Wino Alpha Estate Malagouzia białe, wytrawne 0,75; 13,5% Grecja";wino białe;1;Moc:13,5%
WINO ALEXANDER THE GREAT B/S 1L;29.99;https://alkoholeswiata24.pl/gfx/mini/1509296424.3128.jpg, https://alkoholeswiata24.pl/gfx/1509296424.3128.jpg;0;;wino białe;1;Moc: 0%
WINO ALSACE JEAN BIECHER GEWURZTRAMINER 0,75L B/PS FRANCJA;49.00;https://alkoholeswiata24.pl/gfx/mini/1675861737.6545.jpg, https://alkoholeswiata24.pl/gfx/1675861737.6545.jpg;0;Wino Alsace Jean Biecher Gewurztraminer 0,75l B/W;wino białe;1;Moc: 0%
WINO ABUELICO SAUVIGNON BLANC VINA ALTA ORGANIC 0,75 B/W HISZPANIA;44.99;https://alkoholeswiata24.pl/gfx/mini/1660138650.7518.jpg, https://alkoholeswiata24.pl/gfx/1660138650.7518.jpg;0;;wino białe;1;Moc: 0%
WINO ANGOVE ORGANIC CHARDONNAY B/W 0,75L AUSTRALIA;49.00;https://alkoholeswiata24.pl/gfx/mini/1652876666.5126.jpg, https://alkoholeswiata24.pl/gfx/1652876666.5126.jpg;1;;wino białe;1;Moc: 0%
WINO 365 POMEGRANATE CZ/PS 0,75L 12% KARAFKA;64.00;https://alkoholeswiata24.pl/gfx/mini/1696248177.2086.jpg, https://alkoholeswiata24.pl/gfx/1696248177.2086.jpg;0;Wino 365 Pomegranate czerwone, półsłodkie Wino 365 Pomegranate produkowane w Armenii w 100% z naturalnych składników. Wytwarzane z soczystych granatów dojrzewających w Meghri w regionie Syunik. W smaku intensywne i orzeźwiające z nutą przyjemnej cierpkości. Wyczuwalne delikatne taniny i długi posmak granatu. Zamknięte z mocą 12% ABV w karafkę w kształcie granatu.;wino czerwone;1;Moc:12%
WINO ALLURE CABERNET SAUV 12,5 % CZ/PS 0,75L FAKTORIA WIN;29.99;https://alkoholeswiata24.pl/gfx/mini/1654158857.4749.jpg, https://alkoholeswiata24.pl/gfx/1654158857.4749.jpg;0;;wino czerwone;1;Moc: 0%
WINO 770 MILES ZINFANDEL RED CZ/W 0,75L;29.99;https://alkoholeswiata24.pl/gfx/mini/1692279302.8942.jpg, https://alkoholeswiata24.pl/gfx/1692279302.8942.jpg;0;Wino 770 Miles Zinfandel Red - czerwone, wytrawne 770 Miles Zinfandel Red to czerwone, wytrawne wino produkowane w Kalifornii, USA. Szczep Zinfandel został sprowadzony z południowych Włoszech do Kalifornii i teraz kojarzony jest z typowo kalifornijskim winem. Charakteryzuje się rubinową barwą z refleksami ciemnej czerwieni. W nosie harmonijne, z nutami kawy, jeżyn i czerwonych owocach. Na podniebieniu aksamitne, krągłe z łagodnymi taninami. Zabutelkowane z mocą 12,5% ABV. Wino 770 Miles Zinfandel Red najlepiej podawać w temperaturze 16-18 °C. Doskonale komponuje się z kuchnią włoską jak pizza, makarony oraz z grillowanym kurczakiem. Można je podawać jako aperitif w celu pobudzenia apetytu.;wino czerwone;1;Moc: 0%
WINO 365 BLACKBERRY CZ/PS 0,75L 12% KARAFKA;64.00;https://alkoholeswiata24.pl/gfx/mini/1696244902.9781.jpg, https://alkoholeswiata24.pl/gfx/1696244902.9781.jpg;0;Wino 365 Blackberry - czerwone, półsłodkie  według unikalnych receptur winiarzy Gevorkian Winery. Wytwarzane z jeżyn uprawianych na alpejskich łąkach Tavush i Lori. Charakteryzuje się niezwykłym smakiem słodkich leśnych owoców z nutą kwaskowości.  , dlatego może posiadać osad. Zamknięte z mocą 12% ABV w  .  Wino 365 Blackberry będzie idealne na wyjątkowy prezent, które będzie nie tylko smakować, ale również pięknie się prezentować.;wino czerwone;1;Moc:12%
WINO 365 CHERRY CZ/PS 0,75L 12% KARAFKA;64.00;https://alkoholeswiata24.pl/gfx/mini/1696245462.7192.jpg, https://alkoholeswiata24.pl/gfx/1696245462.7192.jpg;0;Wino 365 Cherry- czerwone, półsłodkie Wino 365 Cherry to czerwone, półsłodkie wino produkowane w Armenii według tradycyjnych metod winiarzy  Gevorkian Winery. Wytwarzane z wiśni zbieranych w dolinie Araratu. Wino charakteryzuje się niezwykłym aromatem liści po deszczu z nutami jagód i czereśni. Na podniebieniu świeże z bogatymi niuansami czerwonych owoców. Zamknięte w piękną karafkę w kształcie wiśni.;wino czerwone;1;Moc:12%
WINO AGLIANICO TERRE VULCANO CZ/W 0.75L;35.90;https://alkoholeswiata24.pl/gfx/mini/1614978925.0465.jpg, https://alkoholeswiata24.pl/gfx/1614978925.0465.jpg;0;;wino czerwone;1;Moc: 0%
