name,price,image_url,product_code,large_image_url,description
"GIN 24 HERBS BOTANIC 0,05L 40% MINIATURKA",17.99,gfx/mini/1698664277.6803.jpg,5903957411200,gfx/1698664277.6803.jpg,Gin 24 Herbs Botanic 50ml 40%
"GIN BEEFEATER BLOOD ORANGE 37,5 % 0,7L",79.00,gfx/mini/1658749556.3887.jpg,5000299618240,gfx/1658749556.3887.jpg,"Gin Beefeater z roczną sprzedażą na poziomie około 4,3 mln skrzynek stoi w czołówce najlepiej sprzedających się ginów na świecie. W składzie znajdziemy: jałowiec, skórka cytryny, skórka pomarańczy, migdały, nasiona kolendry, korzeń irysa, korzeń lukrecji, korzeń arcydzięgla, nasiona arcydzięgla i naturalne aromaty czerwonej pomarańczy. Nowa propozycja od marki Beefeater -  Blood Orange swój debiut miała w 2019 roku. Powstała dzięki inspiracji ginem Beefeater Gin Orange stworzonym w 1876 roku przez twórcę marki - James'a Burroug. Postanowił on klasyczny gin połączyć z ręcznie wyselekcjonowanymi pomarańczami zakupionymi na popularnym londyńskim rynku - Covent Garden Market. 143 lata później dzięki mistrzowi destylacji - Desmondowi Payne powstaje Blood Orange, który łączy klasyczne nuty jałowca i arcydzięgla z cytrusami, nadając mu doskonały orzeźwiający charakter.  Gin najlepiej łączy się z tonikiem, podawaj go z plastrem krwawej pomarańczy, a uzyskasz niepowtarzalny słodko-gorzki smak."
"GIN BEEFEATER DRY 24 0,7L 45%",139.90,gfx/mini/1633940085.8573.jpg,5000299605028,gfx/1633940085.8573.jpg,
"GIN BEEFEATER 0,7L 40%",79.99,gfx/mini/1618467724.81.jpg,5000329002193,gfx/1618467724.81.jpg,"Gin Beefeater 0,7l 40%"
"GIN BACUR ZESTAW 3 SZT 40% 0,05L MINIATURKI",79.99,gfx/mini/1699622019.3108.jpg,8005829991173,gfx/1699622019.3108.jpg,"Gin Bacur zestaw miniaturek 3 sztuki 50ml Gin Bacur to wysokiej jakości trunek produkowany z wyselekcjonowanych składników przez firmę Bottega we Włoszech. Wytwarzany z roślin botaniczncyh jak jagody jałowca, szałwia i skórka cytryny. Rośliny są macerowane w alkoholu i wodzie, a następnie destylowane dwukrotnie w celu usunięcia wszelkich zanieczyszczeń.  Bacur Gin charakteryzuje się doskonale zbalansowanym, eleganckim smakiem. Zamknięty jest z mocą 40% ABV w piękną, złotą butelkę, obok której nie można przejść obojętnie. To świetna propozycja dla każdego konesera ginu i będzie stanowić wyjątkowy prezent na każdą okazję. Wspaniale komponuje się w klasycznych drinkach i koktajlach. : Jałowiec, skórka cytryny i szałwia.  : Gładki, zbalansowany i rozgrzewający z niuansami jałowca i odświeżającej cytryny.  Zestaw miniaturek ginu Bacur będzie świetnym dodatkiem do prezentu lub wyjątkowym prezentem samym w sobie!"
"GIN AKORI PREMIUM CHERRY BLOSSOM 40% 0,7L",140.99,gfx/mini/1662712397.8809.jpg,8410837520343,gfx/1662712397.8809.jpg,"Kwiat wiśni jest symbolem Japonii i to właśnie było inspiracją do stworzenia ginu Akori Cherry Blossom. Produkowany w Hiszpanii i destylowany z alkoholu ryżowego ma wyrazisty charakter oraz piękny, kwiatowy aromat. Prezentuje się bardzo estetycznie, delikatne kwiatowe akcenty na butelce kontrastują z jego mocnym charakterem. Cudowna propozycja na prezent, zwłaszcza dla kobiet, które lubują się w wysokoprocentowych alkoholach. : Przyjemny i delikatny. Nuty cytrusowe łączą się z pikantnym akcentem imbiru. : Wyrazisty i harmonijny. Owoce cytrusowe wzbogacone nutami kwiatowymi i delikatnym akcentem imbiru na finiszu."
"GIN BACUR 40% 0,7L",129.00,gfx/mini/1667208511.9721.jpg,8005829983314,gfx/1667208511.9721.jpg,"Gin Bacur 0,7l Gin Bacur to wysokiej jakości trunek produkowany z wyselekcjonowanych składników przez firmę Bottega we Włoszech. Wytwarzany z roślin botaniczncyh jak jagody jałowca, szałwia i skórka cytryny. Rośliny są macerowane w alkoholu i wodzie, a następnie destylowane dwukrotnie w celu usunięcia wszelkich zanieczyszczeń.  Bacur Gin charakteryzuje się doskonale zbalansowanym, eleganckim smakiem. Zamknięty jest z mocą 40% ABV w piękną, złotą butelkę, obok której nie można przejść obojętnie. To świetna propozycja dla każdego konesera ginu i będzie stanowić wyjątkowy prezent na każdą okazję. Wspaniale komponuje się w klasycznych drinkach i koktajlach. Jak smakuje gin Bacur? : Jałowiec, skórka cytryny i szałwia.  : Gładki, zbalansowany i rozgrzewający z niuansami jałowca i odświeżającej cytryny."
"GIN 24 HERBS BOTANIC MANGO & LIME 0,7L 40%",89.90,gfx/mini/1665747337.1294.jpg,5903957411163,gfx/1665747337.1294.jpg,"Gin 24 Herbs Botanic Mango & Lime 0,7l 40%"
"GIN 24 HERBS BOTANIC CUCUMBER MINT 0,7L 40%",89.99,gfx/mini/1665991393.3714.jpg,5903957411095,gfx/1665991393.3714.jpg,
"GIN 24 HERBS BOTANIC 0,7L 40%",89.90,gfx/mini/1623138750.2179.jpg,5903957411002,gfx/1623138750.2179.jpg,"Gin 24 Herbs Botanic 0,7l 40%"
