name,price,image_url,product_code,large_image_url,description
"CACHACA 51 40% 0,7L BRAZYLIA",94.89,gfx/mini/1627680986.6957.jpg,7896002100441,gfx/1627680986.6957.jpg,"Cachaca 51 0,7l 40% - brazylijska Cachaca"
"RUM ABUELO XII TWO OAKS 0,7L 40% PANAMA",263.99,gfx/mini/1596705878.6012.jpg,7451101210646,gfx/1596705878.6012.jpg,"Aktywna od ponad wieku w produkcji rumów, rodzina Varela przez trzy pokolenia wykazała się całą swoją wiedzą. swoim know-how. Przez lata i sukcesy Ron Abuelo stał się jednym z najbardziej poszukiwanych rumów przez fanów Ameryki Środkowej, ale także Stanów Zjednoczonych i większości Azji. Od surowca po dojrzewanie, cała produkcja jest kontrolowana w hacjendzie San Isidro, obejmującej ponad 1800 ha trzciny cukrowej w sercu Panamy. Z jej piwnic wyszły wyjątkowe rumy, do których należy teraz zaliczyć stary rum Abuelo 12 years Two Oaks. Abuelo 12-letni rum Two Oaks to przede wszystkim demonstracja prawdziwego doświadczenia w starzeniu się rumu. Rzeczywiście, cieszy się wyjątkowym podwójnym dojrzewaniem, nadając mu nie mniej charakteru. Bezprecedensowa mieszanka 12-letnich rumów, z której jest owocem, przeszła pierwsze dojrzewanie w starych beczkach po bourbonie z amerykańskiego dębu. Następnie dojrzewanie kontynuowano w nowych amerykańskich beczkach z białego dębu, specjalnie tostowanych dla Rona Abuelo. Należy przez to rozumieć, że te nowe beczki były podgrzewane do 180 ° przez godzinę, aby delikatnie otworzyć słoje drewna przed ponownym podgrzaniem, tym razem do 220 °, aby utworzyć na powierzchni beczki warstwę węgla drzewnego, który pozwoli na naturalną filtrację niezbędną do wykończenia 12-letniego rumu Abuelo Two Oaks. Wyjątkowy charakter nadany przez podwójne dojrzewanie 12-letniego rumu Abuelo Two Oaks jest natychmiast widoczny w nosie. Ujawnia intensywnie drzewne i dymne nuty, którym delikatnie towarzyszą aromaty wanilii, prażonych migdałów i ziaren kawy. Podczas degustacji, 12-letni stary rum Abuelo Two Oaks potwierdza moc i złożoność, jaką obiecywał podwójne dojrzewanie, z którego skorzystał. Podobnie jak w nosie, nuty drzewne są bardzo obecne bez zmiany bardziej subtelnych aromatów karmelu, orzechów cola i przypraw."
"RUM ABUELO 7YO 0,7L 40% PANAMA",149.90,gfx/mini/1578574512.1003.jpg,7451101210127,gfx/1578574512.1003.jpg,"RUM ABUELO 7YO 0,7L 40% - rum online"
"RUM ABUELO XV OLOROSO SHERRY CASK FINISH 0,7L 40% PANAMA",384.90,gfx/mini/1596705674.7782.jpg,7451101210486,gfx/1596705674.7782.jpg,"Część kolekcji trzech mocnych składników, która obejmuje również wykończenie Tawny Port Cask Finish i Napoleon Cognac Cask Finish. Stanowią oszałamiający prezent, zwłaszcza na 15-tą rocznicę."
"RUM ABUELO ANEJO 0,7L 40% PANAMA",107.99,gfx/mini/1680519887.8724.jpg,7451101210097,gfx/1680519887.8724.jpg,"Rum Abuelo Anejo 0,7l 40%  powstały z kupażu starannie wyselekcjonowanych, starzonych co najmniej 5 lat rumów. To   jak i również jest wspaniałym zaproszeniem do świata Abuelo, gdyż jest pierwszym rumem wydanym przez destylarnię. Zamknięty w butelkę o pojemności 0,7 litra z mocą 40% abv. Jakie cechy szczególne ma rum Abuelo Anejo? Przyjemny, łagodny smak Abuelo Anejo jest osiągany poprzez dokładną destylację, starannie dobranemu kupażowi oraz powolnemu dojrzewaniu w dębowych beczkach. Rum charakteryzuje się słodkim smakiem i aromatem z delikatnym akcentem przypraw i owoców. Jak smakuje rum Abuelo Anejo? : Suszone owoce, banany, wanilia, cynamon i nuta dębu. : Owoce egzotyczne, karmel, wanilia, dąb i cynamon.  : Średnio długi, słodki i rozgrzewający."
"RUM ABUELO XV NAPOLEON COGNAC FINISH 0,7L 40% PANAMA",390.00,gfx/mini/1596705759.9964.jpg,7451101210523,gfx/1596705759.9964.jpg,"Złożony i bogaty z ciemnymi owocami, wanilią i kakao. Do tego korzenne nuty drzewne  Okrągły i pełny na języku. Znowu dużo czerwonych owoców i suszonych owoców jak rodzynki.  Następnie na ostro z dodatkiem drewna, kakao i przypraw.  Długotrwałe i pikantne z nutami dębu, gorzkiej czekolady i odrobiną tytoniu."
"RUM ABUELO 12YO 0,7L 40% PANAMA",199.90,gfx/mini/1581508176.1967.jpg,7451101210134,gfx/1581508176.1967.jpg,"12-letni ciemny rum od Rona Abuelo z Panamy.  Starzeją swój rum w beczkach po whisky, co dodaje wyrazistej waniliowej słodyczy.  Ten 12-latek został wprowadzony na rynek w 2009 roku i jest elegancki, lekko przydymiony i bogaty.  Został nagrodzony Złotą w 2009 roku w konkursie Ministerstwa Degustacji Rumu."
"RUM & CANE MAURITIUS XO SINGLE CASK BOTTLING 0,7L 46% LIMITED EDITION",499.00,gfx/mini/1689774114.7802.jpg,610370681688,gfx/1689774114.7802.jpg,"Rum & Cane Mauritius XO to niezwykły, limitowany rum produkowany na Mauritiusie. Powstaje z melasy trzcinowej i soku trzcinowego, destylowany kolumnowo i w pot still. Starzony w beczkach po sherry Pedro Ximenez. Zabutelkowany bez filtracji na zimno, w naturalnym kolorze przez niezależnego bottlera Rum & Cane Merchants w 2021 roku z mocą 46% abv. Wydany jako single cask w zaledwie 481 egzemplarzach. Doskonały trunek dla najbardziej wymagających.  Rum & Cane Mauritius XO Single Cask - noty degustacyjne Wyczuwalne nuty kandyzowanej pomarańczy, toffi, rodzynek, anyżu i ziela angielskiego."
"RUM & CANE GRENADA XO SINGLE CASK BOTTLING 0,7L 46% LIMITED EDITION",499.00,gfx/mini/1689773371.4436.jpg,610370681664,gfx/1689773371.4436.jpg,"Rum & Cane Grenada XO Single Cask  Rum & Cane Grenada XO to niezwykle unikalny rum produkowany i starzony w Grenadzie, jednym z najmniejszych państw na półkuli zachodniej. Wytwarzany z melasy, destylowany w alembikach kolumnowych i typu pot still. Starzony w jednej beczce z amerykańskiego dębu po bourbonie. Butelkowany w 2021 roku przez niezależnego bottlera  bez filtracji na zimno i bez sztucznych barwników z mocą 46% abv. Rum został zamknięty w elegancką i efektowną karafkę. Do karafki została dołączona luksusowa czarno-złota tuba. Rum & Cane Merchants wyszukują najlepsze beczki rumów Extra Old (XO) na całym świecie i zajmują się ich butelkowaniem. Każdy rum z ich portfolio jest wyjątkowy i niezwykle rzadki. To synonim doskonałości i luksusu. Odpowiednie dla koneserów i dla najbardziej wymagających konsumentów.  Rum & Cane Grenada XO - noty degustacyjne Zarówno w aromacie jak i na podniebieniu wyczuwalne są aromaty ananasa, banana, jabłka toffi, wanilii, karmelu, goździków i kminku."
"KONIAK GAUTIER VS 0,05L 40% MINIATURKA",22.99,gfx/mini/1692971349.4103.jpg,3269552518068,gfx/1692971349.4103.jpg,
