name,price,image_url,product_code,large_image_url,description
"SAKE CHOYA 0,5L 14,5% JAPONIA",44.00,gfx/mini/1589878996.3081.jpg,4017871800215,gfx/1589878996.3081.jpg,"Sake Choya z regionu Nara w Japonii jest wytwarzane według starego przepisu przez browar Yucho z drożdżami koji, ryżem japonica i szczególnie miękką źródlaną wodą.  Sake najlepiej podawać lekko rozgrzane w małej misce, aby wydobyć jego miękki smak."
"WINO 365 BLACKBERRY CZ/PS 0,75L 12% KARAFKA",64.00,gfx/mini/1696244902.9781.jpg,4850006410091,gfx/1696244902.9781.jpg,"Wino 365 Blackberry - czerwone, półsłodkie  według unikalnych receptur winiarzy Gevorkian Winery. Wytwarzane z jeżyn uprawianych na alpejskich łąkach Tavush i Lori. Charakteryzuje się niezwykłym smakiem słodkich leśnych owoców z nutą kwaskowości.  , dlatego może posiadać osad. Zamknięte z mocą 12% ABV w  .  Wino 365 Blackberry będzie idealne na wyjątkowy prezent, które będzie nie tylko smakować, ale również pięknie się prezentować."
"WINO 365 CHERRY CZ/PS 0,75L 12% KARAFKA",64.00,gfx/mini/1696245462.7192.jpg,4850006410640,gfx/1696245462.7192.jpg,"Wino 365 Cherry- czerwone, półsłodkie Wino 365 Cherry to czerwone, półsłodkie wino produkowane w Armenii według tradycyjnych metod winiarzy  Gevorkian Winery. Wytwarzane z wiśni zbieranych w dolinie Araratu. Wino charakteryzuje się niezwykłym aromatem liści po deszczu z nutami jagód i czereśni. Na podniebieniu świeże z bogatymi niuansami czerwonych owoców. Zamknięte w piękną karafkę w kształcie wiśni."
"WINO 365 APRICOT B/PS 0,75L 12% KARAFKA",64.00,gfx/mini/1695992581.2261.jpg,4850006410602,gfx/1695992581.2261.jpg,"Wino 365 Apricot 0,75l  Niezwykłe   ze słodkich moreli miodowych z ogrodów  Wytwarzane według technologii stanowiącej ""know-how"" producenta. Charakteryzuje się ciemnozłotą barwą oraz przepięknym aromatem moreli z nutą kwiatów.  z subtelnymi niuansami słodkich moreli i białych polnych kwiatów. Zamknięte zostało w oryginalną karafkę w kształcie i kolorze moreli.   Wino 365 Apricot najlepiej podawać w temperaturze 10- 16°C do deserów lub owoców. Ze względu na to, że to produkt wytwarzany w 100% z naturalnych składników może pojawiać się osad."
"WINO 365 POMEGRANATE CZ/PS 0,75L 12% KARAFKA",64.00,gfx/mini/1696248177.2086.jpg,4850006410077,gfx/1696248177.2086.jpg,"Wino 365 Pomegranate czerwone, półsłodkie Wino 365 Pomegranate produkowane w Armenii w 100% z naturalnych składników. Wytwarzane z soczystych granatów dojrzewających w Meghri w regionie Syunik. W smaku intensywne i orzeźwiające z nutą przyjemnej cierpkości. Wyczuwalne delikatne taniny i długi posmak granatu. Zamknięte z mocą 12% ABV w karafkę w kształcie granatu."
"WINO 3 PASSO ROSSO 0,75L CZ/W WŁOCHY",75.90,gfx/mini/1537262107.5195.jpg,8008900007473,gfx/1537262107.5195.jpg,
"WINO 24 CARATI TENUTA ANTONINI CZ/W 14,5% 0,75L WŁOCHY",82.00,gfx/mini/1674052805.8712.jpg,8052464000227,gfx/1674052805.8712.jpg,"Wino włoskie 24 Carati Tenuta Antonini czerwone, wytrawne 0,75l 14,5%"
"WINO 12 E MEZZO MALVASIA DEL SALENTO B/W 12,5% 0,75L WŁOCHY",49.00,gfx/mini/1675937083.4551.jpg,8031303000833,gfx/1675937083.4551.jpg,"Wino 12 E Mezzo Malvasia Del Salento białe, wytrawne 0,75l 12,5%"
"SAKE CHOYA HOKKAN OUGYOKU JUNMAI 14,5% 0,72L",101.00,gfx/mini/1690793327.2758.jpg,4976879108474,gfx/1690793327.2758.jpg,"Sake Choya Hokkan Ougyoku Junmai  nazywany   lub  . Choya to jedna z najbardziej znanych marek japońskich na świecie zajmująca się produkcją alkoholi. Produkcją zajmuje się od 1924 roku i wytwarza między innymi wina gronowe, brandy, wina owocowe, umeshi, likiery czy sake.   produkowana jest od dziesięcioleci w prefekturze Tochigi. Trunek w tym regionie nazywany jest Togichi jizake. Wytwarzany w co najmniej 50% z ryżu polerowanego, czego efektem jest wspaniały  . Zabutelkowana z mocą 14,5% abv. Sake najlepiej pić lekko schłodzone, chociaż tradycyjnie podawało się je na ciepło.  Sake klasy premium odpowiednie .  Sake Choya Hokkan Ougyoku Junmai - noty degustacyjne : Delikatny i zrównoważony, kwiat wiśni, jabłko, wanilia, ryż, nuta pieprzu. : Lekki i żywy, świeże nuty jabłka i kwiatów, delikatny akcent owoców tropikalnych i pestkowych. : Harmonijny i aksamitny, kwiaty, owoce, ryż, nuta pieprzu. Jeśli zastanawiasz się   zachęcamy do zapoznania się z naszą ofertą!"
WINO 770 MILES B/PS 0.75L,24.99,gfx/mini/1509296421.9746.jpg,3263280115117,gfx/1509296421.9746.jpg,
