name;price;image_url;quantity;description;category
GRAPPA SIBONA RISERVA BOTTI DA RUM 0,5L 44%;184.91;https://alkoholeswiata24.pl/gfx/mini/1674044849.1462.jpg, https://alkoholeswiata24.pl/gfx/1674044849.1462.jpg;2;Grappa Sibona Riserva Botti Da Rum 0,5l 44% Wysokiej jakości Grappa produkowana w regionie Piemontu we Włoszech. Grappa przez pierwsze dwa lata leżakowała w dębowych beczkach po czym została przelana do beczek po rumie i dojrzewała tam kolejne dwa lata. Beczki użyte do finiszowania zostały sprowadzone z najlepszych destylarni do produkcji rumu.  Jak smakuje Grappa Sibona Riserva Botti Da Rum 44%? : Bogaty z nutami korzennymi. : Elegancki i wyrazisty, mocne nuty kawy i wanilii. : Długi, przyjemny z nutą tropikalnych owoców.;wodki owocowe
GIN WOLF & OAK MARCOWE 2022 0,7L 50%;124.89;https://alkoholeswiata24.pl/gfx/mini/1676987131.5043.jpg, https://alkoholeswiata24.pl/gfx/1676987131.5043.jpg;2;Gin Wolf & Oak Marcowe 2022 0,7l 50%;wodki smakowe
WÓDKA  WOLF & OAK ŚLIWOWICA 0,2L 50%;49.00;https://alkoholeswiata24.pl/gfx/mini/1646913721.7501.jpg, https://alkoholeswiata24.pl/gfx/1646913721.7501.jpg;0;;wodki owocowe
WÓDKA  WOLF & OAK OKOWITA MARCOWE 0,7L 41%;129.90;https://alkoholeswiata24.pl/gfx/mini/1636808990.7869.jpg, https://alkoholeswiata24.pl/gfx/1636808990.7869.jpg;0;;wodki owocowe
WÓDKA 1233 ŚLIWOWICA POLSKA 0,7L 63%;215.90;https://alkoholeswiata24.pl/gfx/mini/1695295435.8091.jpg, https://alkoholeswiata24.pl/gfx/1695295435.8091.jpg;3;"Wódka 1233 Śliwowica Polska 0,7l 63%  Nazwa ""1233"" nawiązuje do roku, w którym Toruń otrzymał prawa miejskie. Toruńskie Wódki Gatunkowe, które już od ponad 130 lat zajmują się produkcją alkoholi postanowili upamiętnić to wydarzenie wytwarzając jedyną i niepowtarzalną śliwowicę.  Produkowana z wysokiej jakości, wielokrotnie destylowanego spirytusu zbożowego oraz .  To wspaniała propozycja, która przypadnie do gustu każdemu lubującemu się w wysokoprocentowych alkoholach.  Luksusowa wódka 1233 Śliwowica Polska została zamknięta drewnianym korkiem w elegancką butelkę o pojemności 0,7 litra i czarny kartonik.";wodki owocowe
WÓDKA  WOLF & OAK ŚLIWOWICA 0,7L 60%;149.90;https://alkoholeswiata24.pl/gfx/mini/1685368549.5241.jpg, https://alkoholeswiata24.pl/gfx/1685368549.5241.jpg;2;Wódka Śliwica Wolf & Oak 0,7l 60%;wodki owocowe
LIKIER DĘBOWA CYTRYNÓWKA STOLIK DĘBOWY TERMO + 4 KIEL. 0,7L 30%;224.50;https://alkoholeswiata24.pl/gfx/mini/1686645984.4407.jpg, https://alkoholeswiata24.pl/gfx/1686645984.4407.jpg;1;Likier Dębowa Cytrynówka - zestaw Stolik Dębowy Termo + 4 kieliszki Likier Dębowa Cytrynówka na stoliku dębowym termo utrzymującym temperaturę w zestawie z czterema kieliszkami. Dębowa Cytrynówka to lekki, mocno cytrusowy likier. Orzeźwiający, lekko słodkawy z nutą goryczki na finiszu. Świetny na gorące, letnie dni. Najlepiej smakuje schłodzony, ale można również pić w temperaturze pokojowej w chłodniejsze. Zabutelkowany z mocą 30% abv.;wodki smakowe
LIKIER COPERNICUS BLACK CAFFE 0,5L 21%;39.00;https://alkoholeswiata24.pl/gfx/mini/1654585071.5058.jpg, https://alkoholeswiata24.pl/gfx/1654585071.5058.jpg;0;;wodki smakowe
WÓDKA 1233 GRAPE 0,7L 40% W KARTONIKU;192.00;https://alkoholeswiata24.pl/gfx/mini/1695043458.9309.jpg, https://alkoholeswiata24.pl/gfx/1695043458.9309.jpg;0;"Wódka 1233 Grape winogronowa w kartoniku  Nazwa ""1233"" nawiązuje do roku, w którym Toruń otrzymał prawa miejskie. Toruńskie Wódki Gatunkowe, które już od ponad 130 lat zajmują się produkcją alkoholi postanowili upamiętnić to wydarzenie wytwarzając jedyną i niepowtarzalną  .  Wódka 1233 Grape produkowana jest z wysokiej jakości leżakowanego destylatu winnego. Charakteryzuje się delikatnym smakiem słodkich, soczystych winogron, uzupełnionymi nutami drewna. To wspaniała propozycja, która przypadnie do gustu każdemu lubującemu się w wysokoprocentowych alkoholach.  Luksusowa wódka 1233 Apple Vodka została zamknięta drewnianym korkiem w elegancką butelkę przypominającym karafkę o pojemności 0,7 litra i czarny kartonik.";wodki owocowe
LIKIER DĘBOWA CHERRY GOLD 0,7L 30%;77.99;https://alkoholeswiata24.pl/gfx/mini/1690958329.8979.jpg, https://alkoholeswiata24.pl/gfx/1690958329.8979.jpg;0;;wodki smakowe
